Competency ,Question
Adaptability,Tell us about a situation in which you had to adjust to changes over which you had no control. How did you handle it?
Adaptability,How do you respond when priorities change quickly? Give one example of when this happened.
Adaptability,How have you adjusted your style when it was not meeting given objectives and/or people were not responding appropriately?
Adaptability,What do you do when you are faced with an obstacle to an important project? Give an example.
Adaptability,Give an example of a situation when you had to compromise your own goals/objectives for the sake of the team.
Analytical Thinking,Describe a project or situation which best demonstrates your analytical abilities. What was your role?
Analytical Thinking,Tell me about a time when you needed to develop and use a detailed procedure to successfully complete a project.
Analytical Thinking,Give me a specific example of a time when you used good judgment and logic in solving a problem.
Analytical Thinking,Describe an instance when you had to think quickly to free yourself from a difficult situation. How did you go about making the changes (step by step)?
Analytical Thinking,Tell me about a time when you had to analyze information and make a recommendation. What kind of thought process did you go through? What was your reasoning behind your decision?
Attention to Detail,Tell me about a job or setting where great attention to detail was required to complete a task. How did you handle that situation?
Attention to Detail,Tell me about your experience in past jobs that required you to be especially alert to details while doing the task involved.
Career Development,Where do you see yourself in five years?
Career Development,Why did you change career paths?
Career Development,What goals have you set for the next 6 months in your current position?
Career Development,How have you progressed up through the ranks to get where you are?
Career Development,What about this position makes it the right next step in your career path?
Career Development,What are your career goals?
Career Development,What areas do you need to develop to round out your professional strengths?
Career Development,What professional development activities have you participated in?
Career Development,What steps have you taken to enhance your professional development?
Career Development,What are you looking for in your next position?
Career Development,What did you do to assist in your professional development in your last position?
Career Development,For which part or parts of this position would you need training?
Career Development,What are your short-term career objectives? Why?
Career Development,What are your long-term career objectives? Why?
Career Development,To what extent is this position relevant to your career objectives?
Client Relations/Customer Service,How do you handle problems with clients? Give an example.
Client Relations/Customer Service,How do you go about establishing rapport with a client? What have you done to gain their confidence?
Client Relations/Customer Service,What have you done to improve relations with your clients?
Client Relations/Customer Service,How do you define quality customer service? Give an example of a time you provided that type of service.
Client Relations/Customer Service,Give an example of one of your customer service success stories.
Client Relations/Customer Service,How have you handled demanding customers or clients?
Client Relations/Customer Service,Tell me about a situation in which you had to deal with a customer or client who was upset and/or dissatisfied with your work. How did you handle that situation?
Client Relations/Customer Service,Tell us about a time when you had to win over an unhappy customer. What did you do? What did you do next? What happened as a result of the steps you took? Would you do anything differently?
Client Relations/Customer Service,Describe your methods of assessing client needs.
Communication,"Describe a situation in which you were able to effectively ""read"" another person and guide your actions by your understanding of their individual needs or values."
Communication,Describe a situation when you were able to strengthen a relationship by communicating effectively. What made your communication effective?
Communication,Describe a situation where you felt you had not communicated well. How did you correct the situation?
Communication,How do you go about explaining a complex technical problem to a person who does not understand technical jargon? What approach do you take in communicating with people?
Communication,What kinds of communication situations present as difficult for you? Give an example.
Communication,Tell me about a time when you and your current or previous supervisor disagreed but you still found a way to get your point across.
Communication,Tell me about a situation in which you had to speak up (be assertive) in order to get a point across that was important to you.
