Competency ,Question,Question_zh
Adaptability,Tell us about a situation in which you had to adjust to changes over which you had no control. How did you handle it?,告訴我們一種情況，在這種情況下，您必須適應您無法控制的變化。你是如何處理的？
Adaptability,How do you respond when priorities change quickly? Give one example of when this happened.,當優先事項迅速變化時，您如何應對？舉一個例子來說明這種情況發生的時間。
Adaptability,How have you adjusted your style when it was not meeting given objectives and/or people were not responding appropriately?,當它沒有達到給定的目標和/或人們沒有做出適當的反應時，你是如何調整你的風格的？
Adaptability,What do you do when you are faced with an obstacle to an important project? Give an example.,當你遇到一個重要項目的障礙時，你會怎麼做？舉個例子。
Adaptability,Give an example of a situation when you had to compromise your own goals/objectives for the sake of the team.,舉個例子，當你為了團隊而不得不妥協自己的目標時。
Analytical Thinking,Describe a project or situation which best demonstrates your analytical abilities. What was your role?,描述一個最能展示你的分析能力的專案或情況。你的角色是什麼？
Analytical Thinking,Tell me about a time when you needed to develop and use a detailed procedure to successfully complete a project.,告訴我一些時候，你需要開發和使用一個詳細的過程來成功完成一個專案。
Analytical Thinking,Give me a specific example of a time when you used good judgment and logic in solving a problem.,給我舉一個具體的例子，說明你在解決問題時使用了良好的判斷力和邏輯性。
Analytical Thinking,Describe an instance when you had to think quickly to free yourself from a difficult situation. How did you go about making the changes (step by step)?,描述一個例子，當你不得不快速思考才能使自己擺脫困境時。您是如何進行更改的（一步一步）？
Analytical Thinking,Tell me about a time when you had to analyze information and make a recommendation. What kind of thought process did you go through? What was your reasoning behind your decision?,告訴我你不得不分析資訊並提出建議的經歷。你經歷了什麼樣的思考過程？你做出這個決定的原因是什麼？
Attention to Detail,Tell me about a job or setting where great attention to detail was required to complete a task. How did you handle that situation?,告訴我一個工作或環境，在完成一項任務時，需要非常注意細節。你是如何處理這種情況的？
Attention to Detail,Tell me about your experience in past jobs that required you to be especially alert to details while doing the task involved.,告訴我你過去工作的經驗，這些經驗要求你在做相關任務時特別注意細節。
Career Development,Where do you see yourself in five years?,你認為五年後的自己在哪裡？
Career Development,Why did you change career paths?,你為什麼改變職業道路？
Career Development,What goals have you set for the next 6 months in your current position?,在目前的職位上，您為未來 6 個月設定了哪些目標？
Career Development,How have you progressed up through the ranks to get where you are?,你是如何在職級中晉陞到現在的？
Career Development,What about this position makes it the right next step in your career path?,這個職位是什麼讓它成為你職業道路上正確的下一步？
Career Development,What are your career goals?,你的職業目標是什麼？
