計畫名稱,所屬科室,計畫別,目的,申請資格及條件,給付標準,給付期限,應備文件,申請方式,計畫窗口,電話
Plan1,諮詢服務及給付科,職訓生活津貼,為保障勞工於參加職業訓練期間之基本生活,於離職退保後2年內向公立就業服務機構辦理求職登記，經公立就業服務機構安排參加全日制職業訓練。,"一、退保之當月起前6個月平均月投保薪資60%按月發給，有受其扶養之眷屬者，每1人按申請人離職辦理本保險退保之當月起前6個月平均月投保薪資10%加給給付或津貼，最多計至20%。
二、職業訓練生活津貼自受訓之日起算。",最長發給6個月。,"一、職業訓練生活津貼申請書及給付收據。
二、離職證明書。
三、國民身分證或其他身分證明文件影本。
四、被保險人本人名義之國內金融機構存摺影本。
五、有扶養眷屬者，應檢附下列證明文件：
(一)受扶養眷屬之戶口名簿影本或其他身分證明文件影本。
(二)受扶養之子女為身心障礙者，應檢附社政主管機關核發之身心障礙證明。
",1.臨櫃申請  2.視訊辦理,"業務督導員
林家慧",(02)8995-6399分機1426
Plan2,諮詢服務及給付科,職訓生活津貼,為保障特定對象失業者於參加全日制職業訓練期間之基本生活,經公立就業服務機構就業諮詢並推介參訓，或經政府機關主辦或委託辦理之職業訓練單位甄選錄訓全日制職業訓練。,每月按基本工資之60%發給。,2年內最長補助6個月；但申請人為身心障礙者，2年內最長發給12個月(所稱「2年內」指學員參訓之始日起，往前推算),"一、津貼申請書。
二、國民身分證正反面影本。
三、同意代為查詢勞工保險資料委託書。
四、特定對象身分證明文件。
五、其他中央主管機關規定之文件。",向訓練單位提出,辦事員張曉玲,(02)8995-6399分機1421
Plan3,訓練推廣科,其他,為提升在職勞工知識、技能及態度，爰結合優質訓練單位提供多元化實務導向訓練課程，並補助其訓練費用，以激發在職勞工自主學習，累積個人人力資本，提升國家整體人力資本目標。,取得結訓證書或學分證明，且缺席時數未超過訓練總時數五分之ㄧ，並填寫參訓學員意見調查表,"1.以訓練單位辦理訓練收費標準，補助每一學員百分之八十訓練費用，其餘費用由學員自行負擔。
2.學員屬低收入戶或中低收入戶中有工作能力者、原住民、身心障礙者、中高齡者、獨力負擔家計者、家庭暴力被害人、更生受保護人、其他依就業服務法第二十四條規定經中央主管機關認為有必要者、逾六十五歲之高齡者、因犯罪行為被害死亡者之配偶、直系親屬或其未成年子女之監護人、因犯罪行為被害受重傷者之本人、配偶、直系親屬或其未成年子女之監護人，補助全額訓練費用。",,無資料,線上報名課程,"業務輔導員
蔡合量",(02)89956399分機1306
Plan4,銀髮人才資源中心,壯世代就業促進獎勵實施要點,為活化及開發中高齡及高齡勞動力，促進中高齡者及高齡者重返職場繼續工作，並鼓勵事業單位積極進用，,"離開職場連續達三個月以上之壯世代勞工，
1.向公立就服機構辦理求職登記開立推介卡
2.經雇用符合申請條件
3.受僱期間滿90日之次日90日內
檢附文件向原推介公立就服機構申請","依下列基準核發，每人最高發給二次： 
(一) 全時工作者，每次新臺幣（下同）三萬元。 
(二) 部分工時工作者，每次一萬五千元。 ",,"(一) 壯世代就業獎勵申請書（如附表一）及領取收據（如附表
二）。 
(二) 身分證明或居留證明文件之影本。 
(三) 工資證明文件影本。 
(四) 本人名義之國內金融機構存摺封面影本。 
(五) 同意代為查詢就業保險、勞工保險及勞工職業災害保險資料。 
(六) 其他經主辦機關規定之文件。 ",各分署在地服務窗口收件,"業務督導員
黃秀禎",02-7730-8878#2318
Plan5,諮詢服務及給付科,臨時工作津貼,為協助就業能力薄弱之特定對象或失業者，運用臨時工作津貼，於推介一般性就業機會前提供臨時工作機會，以協助渠等培養工作技能或暫緩解經濟困境，並持續推介一般性就業機會，以早日進入或重返勞動市場。,"至公立就業服務機構辦理求職登記，經就業諮詢並推介就業，有下列情形之一者，公立就業服務機構得指派其至用人單位從事臨時性工作，並發給臨時工作津貼：
一、於求職登記日起14日內未能推介就業。
二、有正當理由無法接受推介工作。",按中央主管機關公告之每小時基本工資核給，且1個月合計不超過月基本工資。,最長6個月。,"一、身分證或居留證
二、離職證明書
三、就業服務法第24條第1項各款所列各款失業者之證明文件",臨櫃申請,科員郭忠彥,(02)8995-6399分機1412
Plan6,諮詢服務及給付科,天災臨時工作津貼,為提供天然災害造成之災後重建所需人力及受災失業者儘速就業，運用臨時工作津貼，以增加就業機會。,至公立就業服務機構辦理求職登記。,按中央主管機關公告之每小時基本工資核給，且1個月合計不超過月基本工資。,最長6個月。,"設籍、居住於災區之證明，或下列受災證明之一：
一、鄉（鎮、市、區）公所或村（里）辦公處開立之房屋或漁船（筏）、舢舨等受損證明。
二、農政機關或單位開立之農作物受損證明。
三、家屬因天然災害死亡或重傷之證明。
四、事業單位開立載明離職事由之離職證明。
五、其他經專案認定之必要證明。",臨櫃申請,科員郭忠彥,(02)8995-6399分機1412
Plan7,諮詢服務及給付科,求職交通補助金,為減少因距離所致就業困難，積極協助有跨域就業意願之失業勞工儘速重回職場，提供求職交通補助金，增加失業勞工求職意願,"一、其推介地點與日常居住處所距離30公里以上。
二、依就業促進津貼實施辦法、失業中高齡者及高齡者就業促進辦法、促進新住民就業補助作業要點，為低收入戶、中低收入戶或家庭暴力被害人；依就業保險促進就業實施辦法為低收入戶或中低收入戶。","每人每次得發給新臺幣500元；但情形特殊者，得核實發給，每次不得超過新臺幣1,250元。",本補助金每人每年度合併以發給4次為限。,"一、申請書
二、補助金領取收據
三、本人之身分證影本或有效期間居留證明文件",臨櫃申請,"業務輔導員
張淳雅",(02)8995-6399分機1419
Plan8,諮詢服務及給付科,青年跨域就業促進補助,為增加初次尋職青年、至外地就業之機會，減少其因距離所致就業障礙，其經公立就業服務機構諮詢及推介就業者，提供搬遷津貼、租屋津貼及異地就業交通津貼等補助措施。,"一、親自向公立就業服務機構辦理求職登記，經諮詢及開立介紹卡推介就業（開立介紹卡推介就業前未曾參加勞工保險）。
二、推介就業地點與其日常居住處所距離30公里以上，因就業有交通往返、需搬離原日常居住處所或需租屋居住事實（搬遷後居住處所或租屋處所需距離就業地點30公里以內）。
三、符合申請要件且連續受僱於同一雇主滿30日之日起90日內提出申請（以到職投保就業保險生效日起算）。","一、異地就業交通補助：依下方就業地點與原日常居住處所距離，每月給付一定數額補助：
(一)30-50公里，每月1,000元。
(二)50-70公里，每月2,000元。
(三)70公里以上，每月3,000元。
二、搬遷補助：依該次就業所發生之搬遷費用「收據」所列總額核實發給，最高3萬元。註：不含包裝人工費及包裝材料費用。
三、租屋津貼：自就業且租屋之日起，以房屋租賃契約所列租金總額之60%核實發給，每月最高5,000元。","一、異地就業交通補助：
(一)最長補助12個月。
(二)申請期限之末月逾20日者以1個月計，未逾20日者不予補助。
二、搬遷補助：
(一)依該次搬遷事實，1次為限。
三、租屋津貼：
(一)最長補助12個月。
(二)申請期限之末月逾20日者以1個月計，未逾20日者不予補助。","一、共通文件：
(一)申請書
(二)補助金領取收據
(三)本人名義之國內金融機構存摺封面影本
(四)本人之身分證影本或有效期間居留證明文件
二、個別文件：
(一)異地就業交通補助金：其他應備文件。
(二)搬遷補助金：
1.搬遷收據或發票
2.居住證明文件
3.其他應備文件
三、租屋補助金:
(一)建物二類謄本
(二)租賃契約","就業前先至原居住地公立就業服務機構臨櫃辦理

就業後向就業當地之公立就業服務機構提出申請
1.郵寄申請。2.臨櫃遞件。","業務輔導員
張淳雅",(02)8995-6399分機1419
Plan9,諮詢服務及給付科,跨域就業津貼,為增加失業之勞工、中高齡及高齡者至外地就業之機會，減少其因距離所致就業障礙，其經公立就業服務機構諮詢及推介就業者，提供搬遷津貼、租屋津貼及異地就業交通津貼等補助措施。,"一、親自向公立就業服務機構辦理求職登記，經諮詢及開立介紹卡推介就業，就業地點與原日常居住處所距離30公里以上。
二、因就業有交通往返、需搬離原日常居住處所或需租屋居住事實（搬遷後居住處所或租屋處所需距離就業地點30公里以內）。
三、符合申請要件且連續受僱於同一雇主滿30日之日起90日內提出申請（以到職投保就業保險生效日起算）。","一、異地就業交通補助：依下方就業地點與原日常居住處所距離，每月給付一定數額補助：
(一)30-50公里，每月1,000元。
(二)50-70公里，每月2,000元。
(三)70公里以上，每月3,000元。
二、搬遷補助：依該次就業所發生之搬遷費用「收據」所列總額核實發給，最高3萬元。註：不含包裝人工費及包裝材料費用。
三、租屋津貼：自就業且租屋之日起，以房屋租賃契約所列租金總額之60%核實發給，每月最高5,000元。","一、異地就業交通補助：
(一)最長補助12個月。
(二)申請期限之末月逾20日者以1個月計，未逾20日者不予補助。
二、搬遷補助：
(一)依該次搬遷事實，1次為限。
三、租屋津貼：
(一)最長補助12個月。
(二)申請期限之末月逾20日者以1個月計，未逾20日者不予補助。","一、共通文件：
(一)申請書
(二)補助金領取收據
(三)本人名義之國內金融機構存摺封面影本
(四)本人之身分證影本或有效期間居留證明文件
二、個別文件：
(一)異地就業交通補助金：其他應備文件。
(二)搬遷補助金：
1.搬遷收據或發票
2.居住證明文件
3.其他應備文件
(三)租屋補助金:
1.建物二類謄本
2.租賃契約","就業前先至原居住地公立就業服務機構臨櫃辦理

就業後向就業當地之公立就業服務機構提出申請
1.郵寄申請。2.臨櫃遞件。","業務輔導員
張淳雅",(02)8995-6399分機1419
Plan10,諮詢服務及給付科,僱用獎助(含失業中高齡者及高齡者僱用獎助),為鼓勵雇主優先僱用弱勢失業勞工，雇主僱用經公立就業服務機構就業諮詢評估需運用僱用獎助措施之弱勢就業者，將依規定給與雇主僱用獎助，以期協助弱勢失業勞工返回勞動市場。,"一、雇主於連續僱用同一受領僱用獎助推介卡之勞工滿30日之日起90日內，得向原推介轄區之公立就業服務機構提出第1次獎助申請。又為簡化申請程序，雇主後續僱用每滿3個月之日起90日內提出獎助申請。如遞延申請，請檢附相關說明。
二、請領期間自勞工到職投保就業保險生效之日起算，一個月以30日計算，其末月僱用時間逾20日(第21天以後離職)而未滿30日者，以一個月計算。","一、失業期間連續達30日以上之高齡者：
(一)月薪制：每月15,000元
(二)時薪制：80元/時
二、失業期間連續達30日以上之年滿45歲至65歲失業者、身心障礙者、長期失業者：
(一)月薪制：每月13,000元
(二)時薪制：70元/時
三、失業期間連續達30日以上之獨力負擔家計者、原住民、低收入戶或中低收入戶中有工作能力者、更生受保護人、家庭暴力及性侵害被害人、二度就業婦女、新住民：
(1)月薪制：每月11,000元
(2)時薪制：60元/時
4.失業期間連續達3個月以上之一般失業者：
(1)月薪制：每月9,000元
(2)時薪制：50元/時",每位受僱於同一雇主之勞工，最長獎助12個月,"一、僱用獎助申請書
二、營利事業登記證或經濟部核准函
三、僱用獎助僱用名冊及薪資印領清冊
四、僱用獎助領據
五、身分證影本/有效期限內居留證影本
六、勞工保險被保險人投保資料表(或其他加保證明)
七、員工出勤資料
八、員工薪資明細
九、投保單位勞保投保人數佐證資料(投保人數67人以上，由雇主或就業中心按月檢附本項資料)
十、留用情形回報名冊(本項可由就業中心提供)",向原推介公立就業服務機構申請,"業務督導員
張秋慧","(02)89956399
分機1417"
